PLAYER_POSITION,FGM,FGA,FG_PCT,FG2M,FG2A,FG2_PCT,FG3M,FG3A,FG3_PCT,Effective_Field_Goal_PCT
C,2.0,2.9,65.0,2.9,4.9,56.2,0.3,0.8,27.3,1.2
C-F,2.1,2.9,72.3,3.1,5.1,62.2,0.4,1.1,27.7,1.3
F,1.3,2.0,62.7,2.1,3.8,51.6,0.8,2.5,31.3,1.6
F-C,2.0,3.0,67.6,2.8,4.9,57.6,0.6,2.0,29.7,1.2
F-G,1.4,2.2,55.4,2.2,4.4,47.4,1.2,3.7,31.2,1.8
G,1.0,1.7,54.4,2.0,4.0,47.0,1.2,3.4,30.7,2.2
G-F,1.1,1.7,63.2,1.9,3.7,52.7,1.1,3.3,31.7,2.1
