PLAYER_POSITION,FGM,FGA,FG_PCT,FG2M,FG2A,FG2_PCT,FG3M,FG3A,FG3_PCT,Effective_Field_Goal_PCT
C,0.0,0.1,13.6,2.9,4.9,56.2,0.3,0.8,27.3,33.5
C-F,0.0,0.1,15.5,3.1,5.1,62.2,0.4,1.1,27.7,37.0
F,0.2,0.4,30.9,2.1,3.8,51.6,0.8,2.5,31.3,8.2
F-C,0.1,0.2,29.3,2.8,4.9,57.6,0.6,2.0,29.7,18.5
F-G,0.2,0.6,32.9,2.2,4.4,47.4,1.2,3.7,31.2,6.7
G,0.2,0.5,32.7,2.0,4.0,47.0,1.2,3.4,30.7,7.6
G-F,0.2,0.6,33.8,1.9,3.7,52.7,1.1,3.3,31.7,5.9
